Asset Name,Asset Type,Environment,Business Owner,Criticality,Operating System,CPU Cores,Memory GB,Storage GB,Location,Dependencies
CRM-PROD-01,Application,Production,Finance Team,Critical,Windows Server 2019,8,32,500,DC-East,DB-PROD-01
DB-PROD-01,Database,Production,Finance Team,Critical,Linux RHEL 8,16,64,2000,DC-East,
WEB-PROD-01,Server,Production,IT Operations,High,Linux Ubuntu 20.04,4,16,200,DC-East,CRM-PROD-01
HR-PORTAL,Application,Production,HR Department,Medium,Windows Server 2016,4,16,300,DC-West,HR-DB-01
HR-DB-01,Database,Production,HR Department,Medium,MySQL 8.0,8,32,1000,DC-West,
TEST-SERVER-01,Server,Development,Development Team,Low,Linux CentOS 7,2,8,100,DC-East,
ANALYTICS-APP,Application,Production,Business Intelligence,High,Linux Ubuntu 18.04,12,48,800,DC-East,ANALYTICS-DB
ANALYTICS-DB,Database,Production,Business Intelligence,High,PostgreSQL 13,16,64,3000,DC-East,
BACKUP-SRV-01,Server,Production,IT Operations,Medium,Windows Server 2019,4,16,5000,DC-West,
LEGACY-ERP,Application,Production,Finance Team,Critical,COBOL Mainframe,32,128,10000,DC-Central,LEGACY-DB
LEGACY-DB,Database,Production,Finance Team,Critical,IBM DB2,24,96,8000,DC-Central,
DEV-WEB-01,Server,Development,Development Team,Low,Linux Ubuntu 22.04,2,8,100,DC-East,
MONITORING-SRV,Server,Production,IT Operations,High,Linux RHEL 8,8,32,500,DC-East,
EMAIL-SERVER,Server,Production,IT Operations,Critical,Exchange Server 2019,8,32,1000,DC-West,
FILE-SERVER-01,Server,Production,IT Operations,Medium,Windows Server 2019,4,16,2000,DC-East,
